gemeente,fractie,aantal_leden,totaal_raad,in_schepencollege,voorzitter_gemeenteraad,in_coalitie_volgens_wikipedia,in_coalitie_volgens_wikipedia
Asse,ZELLIKRELEGEM-VOLK,4,32,nee,nee,nee,nee
Assenede,Anders,8,24,nee,nee,nee,nee
Assenede,SamenPlus,13,24,ja,ja,ja,ja
Assenede,Vlaams Belang,3,24,nee,nee,nee,nee
Avelgem,CD&V,3,13,nee,nee,nee,nee
Avelgem,N-VA,1,13,nee,nee,nee,nee
Avelgem,Tandem,3,13,nee,nee,ja,ja
Avelgem,gbA-GEMEENTEBELANGEN,6,13,nee,ja,ja,ja
Baarle-Hertog,CDK,4,12,nee,nee,nee,nee
Baarle-Hertog,FORUM+,4,12,ja,ja,ja,ja
Baarle-Hertog,N-VA,4,12,ja,nee,ja,ja
Balen,CD&V,12,27,ja,ja,ja,ja
Balen,N-VA,6,27,nee,nee,nee,nee
Balen,Onafhankelijk,1,27,nee,nee,nee,nee
Balen,Open Vld Plus,1,27,nee,nee,nee,nee
Balen,VLAAMS BELANG,4,27,nee,nee,nee,nee
Balen,sp.a Balen 2025,3,27,ja,nee,ja,ja
Beernem,CD&V,1,26,nee,nee,ja,ja
Beernem,CD&V Beernem,11,26,nee,nee,nee,nee
Beernem,GROEN,3,26,nee,nee,ja,ja
Beernem,N-VA,9,26,nee,nee,nee,nee
Beernem,Onbekend,1,26,nee,nee,nee,nee
Beernem,sp.a,1,26,nee,nee,ja,ja
Beerse,BEERSEplus,3,26,ja,nee,ja,ja
Beerse,CDE-Vlim.be,11,26,ja,ja,ja,ja
Beerse,Groen-Hart v. Beerse,2,26,nee,nee,ja,ja
Beerse,N-VA,7,26,nee,nee,nee,nee
Beerse,Vlaams Belang,3,26,nee,nee,nee,nee
Beersel,Blauw beersel,1,13,nee,nee,nee,nee
Beersel,Lijst BURGEMEESTER,3,13,nee,nee,ja,ja
Beersel,Onbekend,1,13,nee,nee,nee,nee
Beersel,WijZijnBeersel,4,13,nee,nee,nee,nee
Beersel,union francophone,4,13,nee,nee,nee,nee
Begijnendijk,LEEF,2,21,ja,nee,ja,ja
Begijnendijk,MGB,9,21,nee,nee,nee,nee
Begijnendijk,N-VA,2,21,ja,nee,ja,ja
Begijnendijk,S.A.F.E.,2,21,ja,nee,ja,ja
Begijnendijk,samen,6,21,ja,ja,ja,ja
Bekkevoort,Bekkevoort Beter,1,18,nee,nee,nee,nee
Bekkevoort,CD&V,7,18,ja,ja,ja,ja
Bekkevoort,GBL,1,18,nee,nee,nee,nee
Bekkevoort,N-VA,2,18,nee,nee,nee,nee
Bekkevoort,ONS DORP,6,18,ja,nee,ja,ja
Bekkevoort,Open Vld,1,18,nee,nee,nee,nee
Beringen,CD&V,9,36,nee,nee,ja,ja
Beringen,Groen,2,36,nee,nee,nee,nee
Beringen,N-VA,6,36,nee,nee,ja,ja
Beringen,Onbekend,1,36,nee,nee,nee,nee
Beringen,VLAAMS BELANG,3,36,nee,nee,nee,nee
Beringen,VOLUIT,6,36,nee,nee,ja,ja
Beringen,Vooruit,8,36,nee,nee,nee,nee
Beringen,sp.a,1,36,nee,nee,nee,nee
Berlaar,CD&V,8,21,ja,ja,ja,ja
Berlaar,Groen,2,21,nee,nee,nee,nee
Berlaar,N-VA,3,21,nee,nee,ja,ja
Berlaar,Onbekend,3,21,nee,nee,nee,nee
Berlaar,Vlaams Belang,2,21,nee,nee,nee,nee
Berlaar,kartel BHG,3,21,nee,nee,nee,nee
Berlare,CD&V,6,23,nee,nee,nee,nee
Berlare,Gemeentebelangen,1,23,nee,nee,nee,nee
Berlare,N-VA,2,23,nee,nee,ja,ja
Berlare,Open Vld,12,23,ja,ja,ja,ja
Berlare,VLAAMS BELANG,1,23,nee,nee,nee,nee
Berlare,Vooruit en Groen,1,23,nee,nee,nee,nee
Bertem,CD&V,6,21,ja,nee,ja,ja
Bertem,GEMBELANGEN OPEN VLD,8,21,ja,ja,ja,ja
Bertem,GROEN,2,21,nee,nee,nee,nee
Bertem,N-VA,2,21,nee,nee,nee,nee
Bertem,Onafhankelijk,1,21,nee,nee,nee,nee
Bertem,sp.a,2,21,nee,nee,nee,nee
Bever,OPEN VOOR DE MENS,5,11,nee,nee,nee,nee
Bever,Thuis in Bever,6,11,ja,ja,ja,ja
Beveren,Beveren 2020,2,35,nee,nee,nee,nee
Beveren,CD&V Beveren,13,35,ja,ja,nee,nee
Beveren,Groen,2,35,nee,nee,nee,nee
Beveren,Groen-sp.a Beveren,2,35,nee,nee,nee,nee
Beveren,N-VA,10,35,ja,nee,ja,ja
Beveren,Onafhankelijken,1,35,nee,nee,nee,nee
Beveren,Open Vld,1,35,nee,nee,nee,nee
Beveren,VLAAMS BELANG,3,35,nee,nee,nee,nee
Beveren,Vooruit,1,35,nee,nee,nee,nee
Bierbeek,CD&V,8,22,nee,nee,ja,ja
Bierbeek,N-VA,3,22,nee,nee,nee,nee
Bierbeek,Onbekend,1,22,nee,nee,nee,nee
Bierbeek,Open Bierbeek,5,22,nee,nee,nee,nee
Bierbeek,sp.a Groen,5,22,nee,nee,ja,ja
Bilzen-Hoeselt,BETER BILZEN,7,32,nee,nee,onbekend,onbekend
Bilzen-Hoeselt,BILZEN BRUIST,3,32,nee,nee,onbekend,onbekend
Bilzen-Hoeselt,Groen,1,32,nee,nee,onbekend,onbekend
Bilzen-Hoeselt,N-VA,6,32,nee,nee,onbekend,onbekend
Bilzen-Hoeselt,Onbekend,1,32,nee,nee,onbekend,onbekend
Bilzen-Hoeselt,ToB,12,32,nee,nee,onbekend,onbekend
Bilzen-Hoeselt,VLAAMS BELANG,2,32,nee,nee,onbekend,onbekend
Blankenberge,CD&V2030,3,27,ja,nee,ja,ja
Blankenberge,N-VA,7,27,ja,nee,ja,ja
Blankenberge,Open Vld,9,27,nee,nee,nee,nee
Blankenberge,Vlaams Belang,2,27,nee,nee,nee,nee
Blankenberge,Vooruit,6,27,ja,ja,ja,ja
Bocholt,BOCHOLT BELEEFT,1,24,nee,nee,nee,nee
Bocholt,N-VA,4,24,nee,nee,ja,ja
Bocholt,NU - Nieuwe Unie,5,24,nee,nee,nee,nee
Bocholt,Onafhankelijk,1,24,nee,nee,nee,nee
Bocholt,Onbekend,1,24,nee,nee,nee,nee
Bocholt,SAMEN,2,24,ja,nee,ja,ja
Bocholt,Via,9,24,nee,nee,ja,ja
Bocholt,Via,1,24,ja,ja,ja,ja
Boechout,'t Dorp,3,24,nee,nee,nee,nee
Boechout,CD&V,2,24,ja,nee,ja,ja
Boechout,Groen-gangmaker,2,24,ja,nee,ja,ja
Boechout,N-VA,5,24,nee,nee,nee,nee
Boechout,PRO Boechout&Vremde,11,24,ja,ja,ja,ja
Boechout,Vlaams Belang,1,24,nee,nee,nee,nee
Bonheiden,BR30,5,23,ja,nee,ja,ja
Bonheiden,CD&V,3,23,ja,ja,ja,ja
Bonheiden,Groen,4,23,nee,nee,nee,nee
Bonheiden,N-VA,6,23,nee,nee,nee,nee
Bonheiden,Onbekend,2,23,nee,nee,nee,nee
Bonheiden,Open VLD,3,23,ja,nee,ja,ja
Boom,BOOM één,7,25,nee,nee,nee,nee
Boom,CD&V,3,25,ja,nee,ja,ja
Boom,Groen,1,25,ja,nee,ja,ja
Boom,N-VA,10,25,ja,ja,ja,ja
Boom,Onbekend,1,25,nee,nee,nee,nee
Boom,VLAAMS BELANG,3,25,nee,nee,nee,nee
Boortmeerbeek,CD&V,3,23,nee,nee,nee,nee
Boortmeerbeek,Groen,3,23,nee,nee,nee,nee
Boortmeerbeek,N-VA,4,23,nee,nee,nee,nee
Boortmeerbeek,Open VLD,11,23,ja,ja,ja,ja
Boortmeerbeek,SP.a,1,23,ja,nee,ja,ja
Boortmeerbeek,Vlaams Belang,1,23,nee,nee,nee,nee
Borgloon,CD&V,2,21,nee,nee,nee,nee
Borgloon,N-VA,2,21,nee,nee,nee,nee
Borgloon,Onbekend,1,21,nee,nee,nee,nee
Borgloon,Open VLD Stroop,9,21,ja,nee,ja,ja
Borgloon,sp.a,7,21,ja,ja,ja,ja
Bornem,CD&V,10,27,nee,nee,nee,nee
Bornem,Iedereen Bornem,10,27,ja,nee,ja,ja
Bornem,N-VA,4,27,ja,ja,ja,ja
Bornem,Vlaams Belang,3,27,nee,nee,nee,nee
Borsbeek,Iedereen Borsbeek,10,22,ja,ja,ja,ja
Borsbeek,N-VA,1,22,nee,nee,ja,ja
Borsbeek,N-VA,9,22,ja,ja,ja,ja
Borsbeek,Vlaams Belang,2,22,nee,nee,nee,nee
Boutersem,CD&V,6,19,ja,ja,ja,ja
Boutersem,Groen,3,19,nee,nee,nee,nee
Boutersem,N-VA,2,19,ja,nee,ja,ja
Boutersem,Onbekend,1,19,nee,nee,nee,nee
Boutersem,Open Vld,2,19,ja,nee,ja,ja
Boutersem,Vooruit,5,19,nee,nee,nee,nee
Brakel,CD&V,3,21,nee,nee,nee,nee
Brakel,N-VA,1,21,nee,nee,nee,nee
Brakel,Onbekend,1,21,nee,nee,nee,nee
Brakel,Open Vld,12,21,ja,ja,ja,ja
Brakel,Vlaams Belang,1,21,nee,nee,nee,nee
Brakel,sp.a,3,21,nee,nee,nee,nee
Brasschaat,Brasschaat 2012,4,34,nee,nee,nee,nee
Brasschaat,CD&V,6,34,nee,nee,nee,nee
Brasschaat,N-VA,17,34,ja,ja,ja,ja
Brasschaat,Onbekend,1,34,nee,nee,nee,nee
Brasschaat,Open VLD,2,34,ja,nee,ja,ja
Brasschaat,PVDA,1,34,nee,nee,nee,nee
Brasschaat,Vlaams Belang,3,34,nee,nee,nee,nee
Brecht,CD&V - CDB,10,29,ja,ja,ja,ja
Brecht,Groen,1,29,nee,nee,nee,nee
Brecht,N-VA,11,29,ja,nee,ja,ja
Brecht,Open VLD,2,29,nee,nee,nee,nee
Brecht,Oprecht Brecht,1,29,nee,nee,nee,nee
Brecht,Vlaams Belang,4,29,nee,nee,nee,nee
Bredene,CD&V,2,25,ja,nee,ja,ja
Bredene,Groen,1,25,nee,nee,nee,nee
Bredene,N_VA/Open Vld,4,25,nee,nee,nee,nee
Bredene,Onbekend,2,25,nee,nee,nee,nee
Bredene,Vlaams Belang,2,25,nee,nee,nee,nee
Bredene,Vooruit,14,25,ja,ja,ja,ja
Bree,BBB,1,25,nee,nee,nee,nee
Bree,N-VA,7,25,ja,nee,ja,ja
Bree,Verjonging,8,25,nee,nee,nee,nee
Bree,Vernieuwing,1,25,nee,nee,nee,nee
Bree,Vooruit,1,25,nee,ja,nee,nee
Bree,onsBree,7,25,ja,nee,nee,nee
Brugge,CD&V,17,48,ja,nee,ja,ja
Brugge,Groen,5,48,nee,nee,nee,nee
Brugge,N-VA,5,48,nee,nee,nee,nee
Brugge,N-VA,1,48,nee,nee,nee,nee
Brugge,Open VLD Plus,6,48,ja,nee,ja,ja
Brugge,Vlaams Belang,4,48,nee,nee,nee,nee
Brugge,Vooruit Brugge,10,48,ja,ja,ja,ja
Buggenhout,CD&V,13,23,ja,ja,ja,ja
Buggenhout,N-VA,5,23,nee,nee,nee,nee
Buggenhout,Open Vld,1,23,nee,nee,nee,nee
Buggenhout,VLAAMS BELANG,4,23,nee,nee,nee,nee
Damme,CD&V+,16,21,ja,ja,ja,ja
Damme,N-VA,3,21,nee,nee,nee,nee
Damme,de Damse belangen,2,21,nee,nee,nee,nee
De Haan,Groen,1,23,nee,nee,nee,nee
De Haan,Lijst burgemeester,10,23,ja,nee,nee,nee
De Haan,Samen Vooruit!,2,23,ja,ja,ja,ja
De Haan,bewust,10,23,nee,nee,nee,nee
De Panne,ACTIE,6,22,nee,nee,ja,ja
De Panne,HET PLAN - B,4,22,nee,nee,ja,ja
De Panne,Lijst Burgemeester,10,22,nee,nee,nee,nee
De Panne,N-VA,1,22,nee,nee,ja,ja
De Panne,Onbekend,1,22,nee,nee,nee,nee
De Pinte,CD&V,9,21,ja,ja,ja,ja
De Pinte,N-VA,3,21,ja,nee,ja,ja
De Pinte,Onbekend,1,21,nee,nee,nee,nee
De Pinte,Open VLD,2,21,nee,nee,nee,nee
De Pinte,Ruimte,6,21,nee,nee,nee,nee
Deerlijk,CD&V,1,22,nee,nee,ja,ja
Deerlijk,CD&V,10,22,ja,ja,ja,ja
Deerlijk,Deerlijk2,2,22,nee,nee,nee,nee
Deerlijk,N-VA,3,22,nee,nee,nee,nee
Deerlijk,Open VLD,6,22,ja,nee,ja,ja
Deinze,CD&V,14,35,ja,nee,ja,ja
Deinze,GroenRood,4,35,nee,nee,nee,nee
Deinze,N-VA,5,35,nee,nee,nee,nee
Deinze,OPEN DEINZE,8,35,ja,ja,ja,ja
Deinze,Onbekend,1,35,nee,nee,nee,nee
Deinze,Vlaams Belang,2,35,nee,nee,nee,nee
Deinze,Vooruit,1,35,nee,nee,nee,nee
Denderleeuw,CD&V,5,27,ja,nee,ja,ja
Denderleeuw,Groen,2,27,ja,nee,ja,ja
Denderleeuw,LVB,7,27,ja,ja,ja,ja
Denderleeuw,N-VA,3,27,nee,nee,nee,nee
Denderleeuw,Plus,1,27,nee,nee,nee,nee
Denderleeuw,Vlaams Belang,9,27,nee,nee,ja,ja
Dendermonde,CD&V,11,35,ja,ja,ja,ja
Dendermonde,Groen,1,35,nee,nee,nee,nee
Dendermonde,N-VA,7,35,ja,nee,ja,ja
Dendermonde,Onbekend,2,35,nee,nee,nee,nee
Dendermonde,Open VLD,4,35,nee,nee,nee,nee
Dendermonde,Vlaams Belang,5,35,nee,nee,nee,nee
Dendermonde,Vooruit,5,35,nee,nee,nee,nee
Dentergem,EENDRACHT,11,19,nee,nee,ja,ja
Dentergem,FOCUS8720,7,19,nee,nee,nee,nee
Dentergem,Onbekend,1,19,nee,nee,nee,nee
Dessel,CD&V,3,21,nee,ja,nee,nee
Dessel,D&W,7,21,nee,nee,nee,nee
Dessel,N-VA,11,21,ja,nee,ja,ja
Destelbergen,CD&V,5,25,nee,nee,nee,nee
Destelbergen,Groen,2,25,nee,nee,nee,nee
Destelbergen,N-VA,6,25,ja,nee,ja,ja
Destelbergen,Open Vld,8,25,ja,ja,ja,ja
Destelbergen,Sp.a,3,25,nee,nee,nee,nee
Destelbergen,Vlaams Belang,1,25,nee,nee,nee,nee
Diepenbeek,CD&V,3,25,ja,nee,ja,ja
Diepenbeek,Groen,2,25,ja,nee,ja,ja
Diepenbeek,N-VA,7,25,ja,ja,ja,ja
Diepenbeek,Open VLD,3,25,ja,nee,ja,ja
Diepenbeek,PUUR Diepenbeek,9,25,nee,nee,nee,nee
Diepenbeek,Pro3590,1,25,nee,nee,nee,nee
Diest,DDS,8,28,nee,nee,ja,ja
Diest,Groen,2,28,nee,nee,nee,nee
Diest,N-VA,3,28,nee,nee,nee,nee
Diest,Onbekend,1,28,nee,nee,nee,nee
Diest,Open Diest,8,28,ja,nee,ja,ja
Diest,Vlaams Belang,1,28,nee,nee,nee,nee
Diest,sp.a,5,28,nee,nee,nee,nee
Diksmuide,CD&V,7,25,ja,ja,ja,ja
Diksmuide,Groen,1,25,nee,nee,nee,nee
Diksmuide,Idee Diksmuide,6,25,ja,ja,ja,ja
Diksmuide,N-VA,6,25,nee,nee,nee,nee
Diksmuide,Onafhankelijk,1,25,nee,nee,nee,nee
Diksmuide,VLAAMS BELANG,1,25,nee,nee,nee,nee
Diksmuide,sp.a-open,3,25,ja,nee,nee,nee
Dilbeek,CD&V,5,36,nee,nee,nee,nee
Dilbeek,DNA!,2,36,nee,nee,nee,nee
Dilbeek,Groen-sp.a,3,36,nee,nee,nee,nee
Dilbeek,LVBurger Open-VLD,10,36,ja,nee,ja,ja
Dilbeek,N-VA LvBurgemeester,9,36,ja,nee,ja,ja
Dilbeek,Onafhankelijk,1,36,nee,nee,nee,nee
Dilbeek,Onbekend,2,36,nee,nee,nee,nee
Dilbeek,Open Vld,1,36,nee,nee,ja,ja
Dilbeek,UF=MR+DÉFI+IND,3,36,nee,nee,nee,nee
Dilsen-Stokkem,CD&V,6,28,nee,nee,nee,nee
Dilsen-Stokkem,N-VA,3,28,nee,nee,nee,nee
Dilsen-Stokkem,Onbekend,1,28,nee,nee,nee,nee
Dilsen-Stokkem,Open Vld,10,28,nee,nee,ja,ja
Dilsen-Stokkem,VOORUIT DILS-STOK,7,28,nee,nee,ja,ja
Dilsen-Stokkem,Voor U,1,28,nee,nee,nee,nee
Drogenbos,Drogenbos Plus,9,18,ja,ja,ja,ja
Drogenbos,Onbekend,3,18,nee,nee,nee,nee
Drogenbos,UF,4,18,ja,nee,nee,nee
Drogenbos,go1620,2,18,nee,nee,nee,nee
Duffel,CD&V,6,25,ja,nee,ja,ja
Duffel,Groen,6,25,nee,nee,nee,nee
Duffel,N-VA,10,25,ja,ja,ja,ja
Duffel,Open VLD,1,25,nee,nee,nee,nee
Duffel,Vlaams Belang,2,25,nee,nee,nee,nee
Edegem,CD&V,3,27,nee,nee,nee,nee
Edegem,Groen,5,27,nee,nee,nee,nee
Edegem,N-VA,18,27,ja,ja,ja,ja
Edegem,Open Vld,1,27,nee,nee,nee,nee
Eeklo,CD&V,6,28,nee,nee,nee,nee
Eeklo,Groen,3,28,nee,nee,ja,ja
Eeklo,N-VA,6,28,nee,nee,nee,nee
Eeklo,Onafhankelijk,1,28,nee,nee,nee,nee
Eeklo,Onbekend,1,28,nee,nee,nee,nee
Eeklo,Open Vld,4,28,nee,nee,ja,ja
Eeklo,SMS EEKLO,6,28,ja,nee,ja,ja
Eeklo,Vlaams Belang,1,28,nee,nee,nee,nee
Erpe-Mere,CD&V,12,25,ja,ja,ja,ja
Erpe-Mere,LEF,1,25,nee,nee,nee,nee
Erpe-Mere,N-VA,5,25,ja,nee,ja,ja
Erpe-Mere,Open Vld,1,25,nee,nee,nee,nee
Erpe-Mere,Sterk!,1,25,nee,nee,nee,nee
Erpe-Mere,VLAAMS BELANG,3,25,nee,nee,nee,nee
Erpe-Mere,Vooruit-Groen,2,25,nee,nee,nee,nee
Essen,CD&V ESSEN,9,25,ja,ja,ja,ja
Essen,N-VA/PLE,9,25,nee,nee,nee,nee
Essen,Onbekend,1,25,nee,nee,nee,nee
Essen,VLAAMS BELANG,2,25,nee,nee,nee,nee
Essen,sp.a-JijmaaktEssen,4,25,ja,nee,ja,ja
Evergem,#sterk!,3,33,nee,nee,nee,nee
Evergem,CD&V,9,33,ja,nee,ja,ja
Evergem,Groen,3,33,nee,nee,nee,nee
Evergem,N-VA,14,33,ja,ja,ja,ja
Evergem,Vlaams Belang,4,33,nee,nee,nee,nee
Galmaarden,CD&V,11,19,ja,ja,ja,ja
Galmaarden,GB.G,1,19,nee,nee,nee,nee
Galmaarden,N-VA,6,19,nee,nee,nee,nee
Galmaarden,Vlaams Belang,1,19,nee,nee,nee,nee
Gavere,CD&V,2,23,nee,nee,ja,ja
Gavere,Gavere durft/N-VA,9,23,nee,nee,nee,nee
Gavere,Groen,2,23,nee,nee,nee,nee
Gavere,Open Vld -VOG,9,23,nee,ja,ja,ja
Gavere,sp.a,1,23,nee,nee,ja,ja
Geel,CD&V,10,33,ja,ja,ja,ja
Geel,DURF,2,33,nee,nee,nee,nee
Geel,De Brugpartij,5,33,nee,nee,nee,nee
Geel,N-VA,9,33,ja,nee,ja,ja
Geel,Onafhankelijk,1,33,nee,nee,nee,nee
Geel,Onbekend,1,33,nee,nee,nee,nee
Geel,PVDA,1,33,nee,nee,nee,nee
Geel,Vlaams Belang,4,33,nee,nee,nee,nee
Geetbets,CD&V,3,16,nee,nee,nee,nee
Geetbets,Hart Dorp,3,16,ja,nee,ja,ja
Geetbets,Open-Vld,10,16,ja,ja,ja,ja
Genk,CD&V,17,41,nee,nee,ja,ja
Genk,N-VA,12,41,nee,nee,nee,nee
Genk,Onbekend,3,41,nee,nee,nee,nee
Genk,PVDA+,1,41,nee,nee,nee,nee
Genk,VLAAMS BELANG,3,41,nee,nee,nee,nee
Genk,VLAAMS BELANG,1,41,nee,nee,nee,nee
Genk,Vooruit,4,41,nee,nee,nee,nee
Gent,CD&V,4,53,ja,nee,ja,ja
Gent,Groen,14,53,ja,ja,ja,ja
Gent,N-VA,6,53,nee,nee,nee,nee
Gent,Open-Vld,15,53,ja,nee,ja,ja
Gent,PVDA,3,53,nee,nee,nee,nee
Gent,Vlaams-Belang,4,53,nee,nee,nee,nee
Gent,Vooruit,7,53,ja,nee,ja,ja
Geraardsbergen,CD&V,9,32,ja,ja,ja,ja
Geraardsbergen,Het Alternatief,1,32,nee,nee,nee,nee
Geraardsbergen,N-VA,1,32,nee,nee,nee,nee
Geraardsbergen,N-VA,1,32,nee,nee,nee,nee
Geraardsbergen,Onafhankelijk,1,32,nee,nee,nee,nee
Geraardsbergen,Onbekend,3,32,nee,nee,nee,nee
Geraardsbergen,Open VLD,11,32,ja,nee,ja,ja
Geraardsbergen,Vlaams Belang,2,32,nee,nee,nee,nee
Geraardsbergen,sp.a,3,32,nee,nee,nee,nee
Gingelom,CD&V,1,9,nee,nee,nee,nee
Gingelom,LEEF,3,9,nee,nee,nee,nee
Gingelom,Vooruit - Goesting,5,9,ja,ja,ja,ja
Gistel,CD&V,7,23,nee,nee,nee,nee
Gistel,Groen,1,23,nee,nee,nee,nee
Gistel,N-VA,2,23,ja,nee,ja,ja
Gistel,Open Vld,10,23,ja,ja,ja,ja
Gistel,Vlaams Belang,1,23,nee,nee,nee,nee
Gistel,Vooruit,2,23,ja,nee,ja,ja
Glabbeek,CD&V,3,17,nee,nee,nee,nee
Glabbeek,Dorpspartij,12,17,ja,ja,ja,ja
Glabbeek,SamenGROEN,2,17,nee,nee,nee,nee
Gooik,CD&V,14,22,ja,ja,ja,ja
Gooik,N-VA,3,22,nee,nee,nee,nee
Gooik,Onafhankelijk,1,22,nee,nee,nee,nee
Gooik,Onbekend,4,22,nee,nee,nee,nee
Grimbergen,Groen,5,14,nee,nee,nee,nee
Grimbergen,N-VA,2,14,ja,nee,ja,ja
Grimbergen,Onbekend,1,14,nee,nee,nee,nee
Grimbergen,Open Vld,2,14,ja,nee,ja,ja
Grimbergen,Vernieuwing,3,14,ja,ja,ja,ja
Grimbergen,cd&v,1,14,nee,nee,nee,nee
Grobbendonk,CD&V,2,22,nee,nee,nee,nee
Grobbendonk,De Lokale Lijst,2,22,nee,nee,nee,nee
Grobbendonk,GiB,9,22,ja,nee,ja,ja
Grobbendonk,N-VA,4,22,ja,ja,ja,ja
Grobbendonk,Vlaams Belang,1,22,nee,nee,nee,nee
Grobbendonk,Vooruit,4,22,nee,nee,nee,nee
Haacht,CD&V,3,24,nee,ja,ja,ja
Haacht,Groen,4,24,nee,nee,nee,nee
Haacht,N-VA,4,24,nee,nee,nee,nee
Haacht,Onbekend,2,24,nee,nee,nee,nee
Haacht,Open VLD,9,24,nee,nee,ja,ja
Haacht,sp.a,2,24,nee,nee,ja,ja
Haaltert,CD&V,4,25,ja,nee,ja,ja
Haaltert,CL-VLD,6,25,nee,nee,nee,nee
Haaltert,N-VA,8,25,ja,ja,ja,ja
Haaltert,Onafhankelijk,1,25,nee,nee,nee,nee
Haaltert,Onbekend,1,25,nee,nee,nee,nee
Haaltert,Open en Liberaal,1,25,nee,nee,ja,ja
Haaltert,Vlaams Belang,2,25,nee,nee,nee,nee
Haaltert,sp.a,2,25,ja,nee,nee,nee
Halen,CD&V,5,7,nee,ja,ja,ja
Halen,N-VA,1,7,nee,nee,nee,nee
Halen,Open Vld,1,7,nee,nee,nee,nee
Halle,CD&V,7,33,ja,nee,ja,ja
Halle,Groen,4,33,ja,nee,ja,ja
Halle,Halle2019,1,33,nee,nee,nee,nee
Halle,N-VA,11,33,nee,nee,nee,nee
Halle,Open Vld,1,33,nee,nee,nee,nee
Halle,Vlaams Belang,2,33,nee,nee,nee,nee
Halle,sp.a,7,33,ja,ja,ja,ja
Hamme,CD&V Hamme Moerzeke,9,27,ja,nee,nee,nee
